Wl	R
1077	0.989
1078	0.989
1079	0.989
1080	0.989
1081	0.989
1082	0.989
1083	0.988
1084	0.989
1085	0.989
1086	0.989
1087	0.989
1088	0.988
1089	0.989
1090	0.989
1091	0.989
1092	0.989
1093	0.989
1094	0.989
1095	0.989
1096	0.989
1097	0.989
1098	0.989
1099	0.989
1100	0.989
1101	0.989
1102	0.989
1103	0.989
1104	0.989
1105	0.989
1106	0.989
1107	0.989
1108	0.989
1109	0.988
1110	0.989
1111	0.988
1112	0.989
1113	0.989
1114	0.989
1115	0.988
1116	0.989
1117	0.989
1118	0.989
1119	0.989
1120	0.989
1121	0.989
1122	0.989
1123	0.989
1124	0.989
1125	0.989
1126	0.989
1127	0.989
1128	0.989
1129	0.989
1130	0.989
1131	0.988
1132	0.989
1133	0.989
1134	0.989
1135	0.988
1136	0.989
1137	0.989
1138	0.989
1139	0.989
1140	0.989
1141	0.989
1142	0.989
1143	0.989
1144	0.989
1145	0.989
1146	0.989
1147	0.988
1148	0.989
1149	0.989
1150	0.989
1151	0.989
1152	0.989
1153	0.989
1154	0.989
1155	0.989
1156	0.989
1157	0.989
1158	0.989
1159	0.989
1160	0.989
1161	0.989
1162	0.989
1163	0.989
1164	0.989
1165	0.989
1166	0.989
1167	0.989
1168	0.989
1169	0.989
1170	0.989
1171	0.989
1172	0.989
1173	0.989
1174	0.989
1175	0.989
1176	0.988
1177	0.988
1178	0.987
1179	0.987
1180	0.988
1181	0.988
1182	0.988
1183	0.988
1184	0.988
1185	0.988
1186	0.988
1187	0.988
1188	0.988
1189	0.988
1190	0.988
1191	0.988
1192	0.988
1193	0.988
1194	0.988
1195	0.988
1196	0.988
1197	0.988
1198	0.988
1199	0.988
1200	0.987
1201	0.987
1202	0.987
1203	0.987
1204	0.987
1205	0.988
1206	0.987
1207	0.988
1208	0.987
1209	0.987
1210	0.987
1211	0.987
1212	0.987
1213	0.987
1214	0.987
1215	0.988
1216	0.987
1217	0.987
1218	0.987
1219	0.988
1220	0.987
1221	0.987
1222	0.987
1223	0.987
1224	0.987
1225	0.988
1226	0.988
1227	0.988
1228	0.988
1229	0.988
1230	0.988
1231	0.987
1232	0.987
1233	0.988
1234	0.988
1235	0.988
1236	0.988
1237	0.988
1238	0.988
1239	0.988
1240	0.988
1241	0.988
1242	0.988
1243	0.988
1244	0.988
1245	0.988
1246	0.988
1247	0.988
1248	0.988
1249	0.988
1250	0.988
1251	0.988
1252	0.988
1253	0.988
1254	0.988
1255	0.988
1256	0.987
1257	0.988
1258	0.988
1259	0.988
1260	0.988
1261	0.988
1262	0.988
1263	0.987
1264	0.987
1265	0.987
1266	0.988
1267	0.988
1268	0.987
1269	0.987
1270	0.987
1271	0.987
1272	0.987
1273	0.988
1274	0.987
1275	0.987
1276	0.986
1277	0.987
1278	0.987
1279	0.987
1280	0.987
1281	0.987
1282	0.987
1283	0.987
1284	0.987
1285	0.987
1286	0.987
1287	0.987
1288	0.987
1289	0.987
1290	0.987
1291	0.987
1292	0.987
1293	0.987
1294	0.987
1295	0.987
1296	0.987
1297	0.987
1298	0.987
1299	0.987
1300	0.987
1301	0.987
1302	0.987
1303	0.987
1304	0.987
1305	0.987
1306	0.987
1307	0.986
1308	0.986
1309	0.987
1310	0.987
1311	0.987
1312	0.987
1313	0.986
1314	0.986
1315	0.986
1316	0.986
1317	0.986
1318	0.987
1319	0.986
1320	0.986
1321	0.986
1322	0.986
1323	0.987
1324	0.986
1325	0.986
1326	0.985
1327	0.986
1328	0.985
1329	0.985
1330	0.986
1331	0.985
1332	0.986
1333	0.985
1334	0.985
1335	0.986
1336	0.985
1337	0.985
1338	0.985
1339	0.986
1340	0.985
1341	0.985
1342	0.985
1343	0.986
1344	0.986
1345	0.985
1346	0.985
1347	0.985
1348	0.985
1349	0.986
1350	0.986
1351	0.986
1352	0.985
1353	0.985
1354	0.985
1355	0.985
1356	0.985
1357	0.985
1358	0.985
1359	0.985
1360	0.986
1361	0.986
1362	0.986
1363	0.986
1364	0.986
1365	0.986
1366	0.985
1367	0.986
1368	0.985
1369	0.985
1370	0.986
1371	0.985
1372	0.986
1373	0.985
1374	0.985
1375	0.986
1376	0.986
1377	0.985
1378	0.986
1379	0.985
1380	0.985
1381	0.985
1382	0.985
1383	0.985
1384	0.985
1385	0.985
1386	0.985
1387	0.985
1388	0.985
1389	0.985
1390	0.985
1391	0.985
1392	0.985
1393	0.986
1394	0.985
1395	0.985
1396	0.985
1397	0.986
1398	0.985
1399	0.985
1400	0.985
1401	0.986
1402	0.985
1403	0.985
1404	0.985
1405	0.985
1406	0.985
1407	0.985
1408	0.986
1409	0.985
1410	0.986
1411	0.985
1412	0.986
1413	0.985
1414	0.985
1415	0.986
1416	0.986
1417	0.986
1418	0.986
1419	0.985
1420	0.985
1421	0.986
1422	0.986
1423	0.986
1424	0.986
1425	0.986
1426	0.986
1427	0.987
1428	0.987
1429	0.987
1430	0.987
1431	0.987
1432	0.987
1433	0.987
1434	0.987
1435	0.986
1436	0.987
1437	0.987
1438	0.987
1439	0.986
1440	0.987
1441	0.987
1442	0.986
1443	0.987
1444	0.986
1445	0.987
1446	0.986
1447	0.986
1448	0.986
1449	0.987
1450	0.986
1451	0.986
1452	0.986
1453	0.986
1454	0.987
1455	0.986
1456	0.987
1457	0.986
1458	0.987
1459	0.987
1460	0.986
1461	0.986
1462	0.987
1463	0.986
1464	0.987
1465	0.986
1466	0.987
1467	0.986
1468	0.987
1469	0.986
1470	0.986
1471	0.986
1472	0.986
1473	0.986
1474	0.987
1475	0.986
1476	0.986
1477	0.986
1478	0.986
1479	0.987
1480	0.987
1481	0.986
1482	0.986
1483	0.987
1484	0.986
1485	0.987
1486	0.987
1487	0.986
1488	0.986
1489	0.987
1490	0.987
1491	0.987
1492	0.987
1493	0.987
1494	0.986
1495	0.986
1496	0.987
1497	0.987
1498	0.987
1499	0.987
1500	0.986
1501	0.987
1502	0.987
1503	0.986
1504	0.987
1505	0.987
1506	0.986
1507	0.987
1508	0.986
1509	0.986
1510	0.986
1511	0.986
1512	0.986
1513	0.986
1514	0.986
1515	0.987
1516	0.986
1517	0.986
1518	0.986
1519	0.986
1520	0.986
1521	0.986
1522	0.986
1523	0.986
1524	0.986
1525	0.987
1526	0.986
1527	0.986
1528	0.986
1529	0.986
1530	0.986
1531	0.986
1532	0.986
1533	0.986
1534	0.986
1535	0.986
1536	0.986
1537	0.986
1538	0.986
1539	0.986
1540	0.986
1541	0.986
1542	0.986
1543	0.986
1544	0.987
1545	0.987
1546	0.987
1547	0.986
1548	0.986
1549	0.986
1550	0.986
1551	0.986
1552	0.986
1553	0.986
1554	0.986
1555	0.986
1556	0.986
1557	0.986
1558	0.986
1559	0.986
1560	0.986
1561	0.986
1562	0.986
1563	0.986
1564	0.986
1565	0.986
1566	0.986
1567	0.986
1568	0.986
1569	0.986
1570	0.986
1571	0.986
1572	0.986
1573	0.986
1574	0.986
1575	0.986
1576	0.986
1577	0.986
1578	0.986
1579	0.986
1580	0.986
1581	0.986
1582	0.986
1583	0.986
1584	0.986
1585	0.986
1586	0.986
1587	0.986
1588	0.986
1589	0.986
1590	0.986
1591	0.986
1592	0.986
1593	0.986
