# wl,R,G,B
6.910000000000000000e+02,7.017592340707778931e-02,5.306125804781913757e-02,6.324028968811035156e-02
6.920000000000000000e+02,6.873261928558349609e-02,5.268808454275131226e-02,6.280994415283203125e-02
6.930000000000000000e+02,6.728930771350860596e-02,5.231491103768348694e-02,6.237959489226341248e-02
6.940000000000000000e+02,6.584600359201431274e-02,5.194173753261566162e-02,6.194924563169479370e-02
6.950000000000000000e+02,6.440269201993942261e-02,5.156856402754783630e-02,6.151890009641647339e-02
6.960000000000000000e+02,6.295938789844512939e-02,5.119538679718971252e-02,6.108855083584785461e-02
6.970000000000000000e+02,6.151608005166053772e-02,5.082221329212188721e-02,6.065820157527923584e-02
6.980000000000000000e+02,6.007277220487594604e-02,5.044903978705406189e-02,6.022785604000091553e-02
6.990000000000000000e+02,5.862946435809135437e-02,5.007586628198623657e-02,5.979750677943229675e-02
7.000000000000000000e+02,5.718615651130676270e-02,4.970269277691841125e-02,5.936716124415397644e-02
