# wl,R,G,B
4.230000000000000000e+02,7.241737842559814453e-02,1.002658307552337646e-01,5.683562755584716797e-01
4.240000000000000000e+02,7.191624492406845093e-02,1.026126667857170105e-01,5.844158530235290527e-01
4.250000000000000000e+02,7.141511887311935425e-02,1.049595028162002563e-01,6.004753708839416504e-01
4.260000000000000000e+02,7.091398537158966064e-02,1.073063462972640991e-01,6.165349483489990234e-01
4.270000000000000000e+02,7.041285187005996704e-02,1.096531823277473450e-01,6.325945258140563965e-01
4.280000000000000000e+02,6.991172581911087036e-02,1.120000183582305908e-01,6.486541032791137695e-01
4.290000000000000000e+02,6.941059231758117676e-02,1.143468543887138367e-01,6.647136807441711426e-01
4.300000000000000000e+02,6.890946626663208008e-02,1.166936978697776794e-01,6.807731986045837402e-01
4.310000000000000000e+02,6.899897009134292603e-02,1.203225404024124146e-01,6.995552778244018555e-01
4.320000000000000000e+02,6.908847391605377197e-02,1.239513829350471497e-01,7.183373570442199707e-01
4.330000000000000000e+02,6.917797774076461792e-02,1.275802254676818848e-01,7.371194362640380859e-01
4.340000000000000000e+02,6.926748901605606079e-02,1.312090605497360229e-01,7.559015154838562012e-01
4.350000000000000000e+02,6.935699284076690674e-02,1.348379105329513550e-01,7.746835947036743164e-01
4.360000000000000000e+02,6.944649666547775269e-02,1.384667456150054932e-01,7.934656739234924316e-01
4.370000000000000000e+02,6.953600049018859863e-02,1.420955955982208252e-01,8.122477531433105469e-01
4.380000000000000000e+02,6.962551176548004150e-02,1.457244306802749634e-01,8.310298323631286621e-01
4.390000000000000000e+02,6.971501559019088745e-02,1.493532806634902954e-01,8.498119115829467773e-01
4.400000000000000000e+02,6.980451941490173340e-02,1.529821157455444336e-01,8.685939908027648926e-01
4.410000000000000000e+02,6.960133463144302368e-02,1.560781300067901611e-01,8.778669238090515137e-01
4.420000000000000000e+02,6.939814239740371704e-02,1.591741293668746948e-01,8.871398568153381348e-01
4.430000000000000000e+02,6.919495016336441040e-02,1.622701436281204224e-01,8.964127898216247559e-01
4.440000000000000000e+02,6.899176537990570068e-02,1.653661429882049561e-01,9.056857228279113770e-01
4.450000000000000000e+02,6.878857314586639404e-02,1.684621572494506836e-01,9.149586558341979980e-01
4.460000000000000000e+02,6.858538091182708740e-02,1.715581566095352173e-01,9.242316484451293945e-01
4.470000000000000000e+02,6.838219612836837769e-02,1.746541708707809448e-01,9.335045814514160156e-01
4.480000000000000000e+02,6.817900389432907104e-02,1.777501702308654785e-01,9.427775144577026367e-01
4.490000000000000000e+02,6.797581166028976440e-02,1.808461844921112061e-01,9.520504474639892578e-01
4.500000000000000000e+02,6.777262687683105469e-02,1.839421838521957397e-01,9.613233804702758789e-01
4.510000000000000000e+02,6.744101643562316895e-02,1.895149797201156616e-01,9.651910066604614258e-01
4.520000000000000000e+02,6.710940599441528320e-02,1.950877606868743896e-01,9.690586924552917480e-01
4.530000000000000000e+02,6.677779555320739746e-02,2.006605565547943115e-01,9.729263782501220703e-01
4.540000000000000000e+02,6.644619256258010864e-02,2.062333524227142334e-01,9.767940044403076172e-01
4.550000000000000000e+02,6.611458212137222290e-02,2.118061333894729614e-01,9.806616902351379395e-01
4.560000000000000000e+02,6.578297168016433716e-02,2.173789292573928833e-01,9.845293760299682617e-01
4.570000000000000000e+02,6.545136123895645142e-02,2.229517102241516113e-01,9.883970022201538086e-01
4.580000000000000000e+02,6.511975824832916260e-02,2.285245060920715332e-01,9.922646880149841309e-01
4.590000000000000000e+02,6.478814780712127686e-02,2.340973019599914551e-01,9.961323142051696777e-01
4.600000000000000000e+02,6.445653736591339111e-02,2.396700829267501831e-01,1.000000000000000000e+00
4.610000000000000000e+02,6.450017541646957397e-02,2.492182552814483643e-01,9.978902935981750488e-01
4.620000000000000000e+02,6.454381346702575684e-02,2.587664127349853516e-01,9.957805275917053223e-01
4.630000000000000000e+02,6.458745151758193970e-02,2.683145701885223389e-01,9.936708211898803711e-01
4.640000000000000000e+02,6.463108956813812256e-02,2.778627276420593262e-01,9.915610551834106445e-01
